Quantity,Material Type,Grade/Finish,Length & Width (in),Gauge,Thickness (in),Cost Per lb (USD),Width (in),Length (in),Density (lb/in^3),Volume (in^3),Weight per Sheet (lb),Total Weight (lb),Total Cost
21,Brass,C260,60x144,17,0.056,4.36,60.0,144.0,0.307,483.84000000000003,148.53888,3119.31648,13600.2198528
17,Hot Rolled Steel,A1011,24x48,16,0.0595,0.69,24.0,48.0,0.284,68.544,19.466495999999996,330.93043199999994,228.34199807999994
29,Brass,C360,60x120,20,0.0359,4.77,60.0,120.0,0.307,258.48,79.35336000000001,2301.24744,10976.950288799999
44,Aluminized Steel,Type 2,48x120,25,0.0209,0.88,48.0,120.0,0.284,120.38399999999999,34.189055999999994,1504.3184639999997,1323.8002483199998
45,Copper,C122,36x72,10,0.1345,4.94,36.0,72.0,0.321,348.624,111.90830400000002,5035.873680000001,24877.215979200006
16,Stainless Steel,304 #4 Finish,48x144,24,0.0239,3.99,48.0,144.0,0.289,165.1968,47.741875199999996,763.8700031999999,3047.841312768
18,Hot Rolled Steel,A36,60x144,20,0.0359,0.81,60.0,144.0,0.284,310.176,88.08998399999999,1585.6197119999997,1284.3519667199998
36,Stainless Steel,304 #4 Finish,48x96,19,0.0418,3.37,48.0,96.0,0.289,192.6144,55.66556159999999,2003.9602175999996,6753.345933311999
22,Galvanized Steel,G90,48x96,17,0.056,1.02,48.0,96.0,0.284,258.048,73.28563199999999,1612.283904,1644.52958208
44,Aluminum,5052-H32,48x120,29,0.0135,2.23,48.0,120.0,0.098,77.76,7.620480000000001,335.30112,747.7214976
21,Aluminized Steel,Type 1,36x96,20,0.0359,0.93,36.0,96.0,0.284,124.0704,35.2359936,739.9558656,688.158955008
6,Galvanized Steel,G60,60x144,10,0.1345,0.79,60.0,144.0,0.284,1162.0800000000002,330.03072000000003,1980.1843200000003,1564.3456128000003
8,Stainless Steel,304 2B,36x120,18,0.0478,3.49,36.0,120.0,0.289,206.496,59.677344,477.418752,1666.19144448
50,Aluminum,5052-H32,48x120,29,0.0135,3.16,48.0,120.0,0.098,77.76,7.620480000000001,381.024,1204.03584
42,Stainless Steel,304 #4 Finish,24x48,21,0.0329,3.39,24.0,48.0,0.289,37.9008,10.953331199999997,460.0399103999999,1559.5352962559996
1,Brass,C260,24x48,17,0.056,3.92,24.0,48.0,0.307,64.512,19.805184,19.805184,77.63632128
9,Galvanized Steel,G60,48x96,25,0.0209,1.03,48.0,96.0,0.284,96.3072,27.351244799999996,246.16120319999996,253.54603929599998
18,Galvanized Steel,G60,48x72,23,0.0269,1.01,48.0,72.0,0.284,92.96640000000001,26.402457599999998,475.24423679999995,479.99667916799996
45,Brass,C260,48x120,14,0.0747,5.03,48.0,120.0,0.307,430.272,132.093504,5944.2076799999995,29899.3646304
49,Stainless Steel,304 2B,36x72,18,0.0478,4.2,36.0,72.0,0.289,123.89760000000001,35.8064064,1754.5139136,7368.958437120001
23,Aluminum,5052-H32,72x144,10,0.1345,2.71,72.0,144.0,0.098,1394.496,136.66060800000002,3143.1939840000005,8518.055696640002
10,Hot Rolled Steel,A1011,60x144,27,0.0164,0.65,60.0,144.0,0.284,141.696,40.24166399999999,402.4166399999999,261.570816
25,Brass,C260,48x96,18,0.0478,5.19,48.0,96.0,0.307,220.2624,67.6205568,1690.51392,8773.767244800001
40,Stainless Steel,304 #4 Finish,48x72,20,0.0359,3.08,48.0,72.0,0.289,124.0704,35.8563456,1434.253824,4417.50177792
16,Copper,C110,48x96,27,0.0164,5.54,48.0,96.0,0.321,75.5712,24.2583552,388.1336832,2150.2606049280002
16,Hot Rolled Steel,A1011,24x48,20,0.0359,0.75,24.0,48.0,0.284,41.3568,11.745331199999999,187.92529919999998,140.9439744
25,Stainless Steel,304 #4 Finish,36x72,21,0.0329,2.82,36.0,72.0,0.289,85.2768,24.644995199999997,616.12488,1737.4721615999997
2,Aluminized Steel,Type 2,60x120,26,0.0179,0.91,60.0,120.0,0.284,128.88,36.60191999999999,73.20383999999999,66.61549439999999
31,Brass,C360,36x72,27,0.0164,4.72,36.0,72.0,0.307,42.5088,13.0502016,404.5562496,1909.505498112
41,Stainless Steel,304 #4 Finish,48x144,21,0.0329,2.81,48.0,144.0,0.289,227.4048,65.71998719999999,2694.5194751999998,7571.5997253119995
23,Hot Rolled Steel,A1011,24x48,16,0.0595,0.78,24.0,48.0,0.284,68.544,19.466495999999996,447.7294079999999,349.22893823999993
31,Aluminum,5052-H32,36x72,14,0.0747,3.0,36.0,72.0,0.098,193.6224,18.974995200000002,588.2248512000001,1764.6745536000003
37,Stainless Steel,304 #4 Finish,36x72,14,0.0747,3.11,36.0,72.0,0.289,193.6224,55.956873599999994,2070.4043232,6438.957445151999
23,Hot Rolled Steel,A1011,48x96,27,0.0164,0.91,48.0,96.0,0.284,75.5712,21.4622208,493.63107840000004,449.20428134400004
47,Aluminum,5052-H32,36x120,29,0.0135,2.48,36.0,120.0,0.098,58.32,5.71536,268.62192000000005,666.1823616000001
49,Aluminum,5052-H32,24x48,20,0.0359,3.05,24.0,48.0,0.098,41.3568,4.0529664,198.59535359999998,605.7158284799999
38,Copper,C110,36x120,20,0.0359,5.45,36.0,120.0,0.321,155.088,49.783248,1891.763424,10310.110660800001
50,Aluminum,6061-T6,48x96,16,0.0595,2.34,48.0,96.0,0.098,274.176,26.869248,1343.4624,3143.7020159999997
50,Galvanized Steel,G60,48x120,18,0.0478,0.65,48.0,120.0,0.284,275.32800000000003,78.193152,3909.6576,2541.2774400000003
7,Hot Rolled Steel,A36,72x144,14,0.0747,0.93,72.0,144.0,0.284,774.4896,219.9550464,1539.6853248,1431.9073520640002
5,Galvanized Steel,G90,36x96,25,0.0209,1.04,36.0,96.0,0.284,72.23039999999999,20.513433599999995,102.56716799999998,106.66985471999999
13,Brass,C360,72x144,28,0.0149,4.57,72.0,144.0,0.307,154.4832,47.4263424,616.5424512000001,2817.5990019840006
31,Galvanized Steel,G60,48x96,24,0.0239,0.94,48.0,96.0,0.284,110.1312,31.2772608,969.5950848,911.4193797119999
45,Copper,C122,36x72,22,0.0299,5.11,36.0,72.0,0.321,77.5008,24.8777568,1119.499056,5720.640176160001
27,Hot Rolled Steel,A1011,36x96,24,0.0239,0.72,36.0,96.0,0.284,82.5984,23.4579456,633.3645312,456.022462464
21,Aluminized Steel,Type 2,48x72,16,0.0595,0.94,48.0,72.0,0.284,205.632,58.399488,1226.389248,1152.8058931199998
11,Copper,C110,48x72,23,0.0269,5.92,48.0,72.0,0.321,92.96640000000001,29.842214400000003,328.26435840000005,1943.3250017280002
34,Hot Rolled Steel,A1011,48x72,12,0.1046,0.6,48.0,72.0,0.284,361.4976,102.66531839999999,3490.6208255999995,2094.3724953599994
13,Hot Rolled Steel,A36,36x72,10,0.1345,0.6,36.0,72.0,0.284,348.624,99.009216,1287.119808,772.2718848
44,Brass,C360,48x144,10,0.1345,4.17,48.0,144.0,0.307,929.6640000000001,285.406848,12557.901312000002,52366.44847104001
11,Brass,C360,24x48,10,0.1345,4.1,24.0,48.0,0.307,154.94400000000002,47.56780800000001,523.245888,2145.3081408
49,Galvanized Steel,G60,36x120,17,0.056,0.87,36.0,120.0,0.284,241.92000000000002,68.70528,3366.55872,2928.9060864
5,Copper,C110,72x144,18,0.0478,5.7,72.0,144.0,0.321,495.59040000000005,159.0845184,795.422592,4533.9087744
2,Brass,C360,48x120,11,0.1196,3.64,48.0,120.0,0.307,688.896,211.49107199999997,422.98214399999995,1539.6550041599999
38,Galvanized Steel,G90,72x144,27,0.0164,0.87,72.0,144.0,0.284,170.0352,48.2899968,1835.0198784,1596.4672942079999
14,Cold Rolled Steel,A366,60x144,26,0.0179,0.84,60.0,144.0,0.284,154.656,43.922304,614.912256,516.5262950399999
9,Brass,C360,60x144,29,0.0135,4.82,60.0,144.0,0.307,116.64,35.80848,322.27632000000006,1553.3718624000003
30,Stainless Steel,304 2B,72x144,20,0.0359,3.81,72.0,144.0,0.289,372.2112,107.56903679999999,3227.0711039999997,12295.140906239998
38,Aluminum,5052-H32,36x96,12,0.1046,2.07,36.0,96.0,0.098,361.4976,35.4267648,1346.2170624,2786.6693191679997
2,Aluminum,3003-H14,72x144,19,0.0418,1.9,72.0,144.0,0.098,433.38239999999996,42.4714752,84.9429504,161.39160576
4,Aluminized Steel,Type 1,36x96,14,0.0747,1.04,36.0,96.0,0.284,258.1632,73.3183488,293.2733952,305.004331008
29,Galvanized Steel,G90,60x144,21,0.0329,0.66,60.0,144.0,0.284,284.256,80.72870399999998,2341.1324159999995,1545.1473945599996
37,Copper,C122,24x48,10,0.1345,5.53,24.0,48.0,0.321,154.94400000000002,49.737024000000005,1840.2698880000003,10176.692480640002
11,Cold Rolled Steel,A1008,24x48,22,0.0299,0.66,24.0,48.0,0.284,34.4448,9.782323199999999,107.60555519999998,71.019666432
36,Brass,C360,48x72,14,0.0747,4.87,48.0,72.0,0.307,258.1632,79.2561024,2853.2196864000002,13895.179872768002
16,Hot Rolled Steel,A1011,24x48,11,0.1196,0.68,24.0,48.0,0.284,137.7792,39.129292799999995,626.0686847999999,425.72670566399995
31,Copper,C122,72x144,24,0.0239,5.5,72.0,144.0,0.321,247.79520000000002,79.5422592,2465.8100352,13561.9551936
35,Brass,C260,60x144,23,0.0269,3.99,60.0,144.0,0.307,232.416,71.35171199999999,2497.3099199999997,9964.2665808
15,Aluminum,5052-H32,72x144,28,0.0149,2.98,72.0,144.0,0.098,154.4832,15.139353600000002,227.09030400000003,676.72910592
42,Brass,C360,60x144,17,0.056,4.32,60.0,144.0,0.307,483.84000000000003,148.53888,6238.63296,26950.8943872
2,Aluminum,6061-T6,48x120,19,0.0418,2.91,48.0,120.0,0.098,240.76799999999997,23.595263999999997,47.19052799999999,137.32443647999997
44,Aluminized Steel,Type 2,48x144,21,0.0329,1.04,48.0,144.0,0.284,227.4048,64.5829632,2841.6503807999998,2955.316396032
12,Aluminized Steel,Type 1,48x72,16,0.0595,1.14,48.0,72.0,0.284,205.632,58.399488,700.793856,798.90499584
14,Aluminized Steel,Type 1,36x120,25,0.0209,1.23,36.0,120.0,0.284,90.288,25.641791999999995,358.9850879999999,441.5516582399999
25,Hot Rolled Steel,A1011,48x120,22,0.0299,0.9,48.0,120.0,0.284,172.224,48.911615999999995,1222.7903999999999,1100.51136
42,Copper,C110,36x72,25,0.0209,5.39,36.0,72.0,0.321,54.172799999999995,17.3894688,730.3576896,3936.6279469439996
11,Cold Rolled Steel,A1008,24x48,27,0.0164,0.71,24.0,48.0,0.284,18.8928,5.3655552,59.0211072,41.904986112
48,Copper,C122,48x120,10,0.1345,4.98,48.0,120.0,0.321,774.72,248.68512,11936.885760000001,59445.69108480001
38,Aluminum,3003-H14,60x144,12,0.1046,1.95,60.0,144.0,0.098,903.744,88.566912,3365.542656,6562.8081792
9,Brass,C260,48x72,11,0.1196,5.0,48.0,72.0,0.307,413.3376,126.8946432,1142.0517888,5710.258943999999
9,Aluminized Steel,Type 1,72x144,12,0.1046,0.98,72.0,144.0,0.284,1084.4928,307.99595519999997,2771.9635968,2716.524324864
2,Cold Rolled Steel,A1008,60x144,22,0.0299,0.62,60.0,144.0,0.284,258.336,73.367424,146.734848,90.97560576
1,Aluminized Steel,Type 1,36x72,19,0.0418,0.93,36.0,72.0,0.284,108.34559999999999,30.770150399999995,30.770150399999995,28.616239871999998
43,Galvanized Steel,G60,36x120,20,0.0359,1.02,36.0,120.0,0.284,155.088,44.04499199999999,1893.9346559999997,1931.8133491199997
45,Stainless Steel,316L,60x120,26,0.0179,3.69,60.0,120.0,0.289,128.88,37.24632,1676.0844,6184.751436
29,Aluminized Steel,Type 2,60x144,12,0.1046,1.13,60.0,144.0,0.284,903.744,256.663296,7443.235584,8410.856209919999
4,Brass,C260,48x120,20,0.0359,4.98,48.0,120.0,0.307,206.78400000000002,63.482688,253.930752,1264.5751449600002
27,Aluminized Steel,Type 1,72x144,12,0.1046,0.88,72.0,144.0,0.284,1084.4928,307.99595519999997,8315.890790399999,7317.983895551999
50,Cold Rolled Steel,A1008,48x72,28,0.0149,0.78,48.0,72.0,0.284,51.4944,14.624409599999998,731.22048,570.3519744
15,Aluminized Steel,Type 1,48x72,18,0.0478,1.09,48.0,72.0,0.284,165.1968,46.9158912,703.7383679999999,767.07482112
3,Copper,C110,36x72,20,0.0359,4.75,36.0,72.0,0.321,93.0528,29.869948800000003,89.60984640000001,425.64677040000004
21,Galvanized Steel,G90,36x120,10,0.1345,0.67,36.0,120.0,0.284,581.0400000000001,165.01536000000002,3465.3225600000005,2321.7661152000005
34,Brass,C360,36x120,23,0.0269,4.56,36.0,120.0,0.307,116.208,35.675855999999996,1212.9791039999998,5531.184714239998
46,Cold Rolled Steel,A1008,36x72,17,0.056,0.77,36.0,72.0,0.284,145.15200000000002,41.223168,1896.265728,1460.12461056
38,Brass,C260,48x144,24,0.0239,4.12,48.0,144.0,0.307,165.1968,50.715417599999995,1927.1858687999998,7940.005779455999
14,Brass,C360,60x144,11,0.1196,4.07,60.0,144.0,0.307,1033.344,317.236608,4441.3125119999995,18076.141923839998
22,Stainless Steel,316L,36x72,20,0.0359,3.93,36.0,72.0,0.289,93.0528,26.892259199999998,591.6297023999999,2325.104730432
6,Aluminized Steel,Type 1,48x120,17,0.056,0.87,48.0,120.0,0.284,322.56,91.60704,549.64224,478.1887488
26,Cold Rolled Steel,A366,36x96,25,0.0209,0.66,36.0,96.0,0.284,72.23039999999999,20.513433599999995,533.3492735999998,352.0105205759999
31,Stainless Steel,316L,48x72,16,0.0595,4.11,48.0,72.0,0.289,205.632,59.427648,1842.2570879999998,7571.67663168
43,Cold Rolled Steel,A366,48x120,29,0.0135,0.85,48.0,120.0,0.284,77.76,22.08384,949.6051199999999,807.1643519999999
4,Aluminized Steel,Type 2,48x96,16,0.0595,1.24,48.0,96.0,0.284,274.176,77.86598399999998,311.46393599999993,386.2152806399999
2,Aluminized Steel,Type 1,36x72,24,0.0239,1.21,36.0,72.0,0.284,61.948800000000006,17.5934592,35.1869184,42.576171264
20,Aluminum,6061-T6,72x144,14,0.0747,2.97,72.0,144.0,0.098,774.4896,75.89998080000001,1517.999616,4508.45885952
8,Cold Rolled Steel,A366,60x144,19,0.0418,0.49,60.0,144.0,0.284,361.152,102.56716799999998,820.5373439999998,402.0632985599999
9,Cold Rolled Steel,A1008,36x96,25,0.0209,0.48,36.0,96.0,0.284,72.23039999999999,20.513433599999995,184.62090239999995,88.61803315199997
41,Galvanized Steel,G60,48x72,17,0.056,0.69,48.0,72.0,0.284,193.536,54.964223999999994,2253.533184,1554.9378969599998
49,Galvanized Steel,G90,60x144,17,0.056,0.87,60.0,144.0,0.284,483.84000000000003,137.41056,6733.11744,5857.8121728
39,Stainless Steel,304 #4 Finish,36x72,27,0.0164,3.44,36.0,72.0,0.289,42.5088,12.285043199999999,479.1166848,1648.1613957119998
40,Aluminized Steel,Type 2,60x120,19,0.0418,0.92,60.0,120.0,0.284,300.96,85.47263999999998,3418.905599999999,3145.393151999999
41,Cold Rolled Steel,A1008,48x72,17,0.056,0.59,48.0,72.0,0.284,193.536,54.964223999999994,2253.533184,1329.58457856
41,Cold Rolled Steel,A1008,48x120,27,0.0164,0.57,48.0,120.0,0.284,94.46400000000001,26.827776,1099.938816,626.96512512
13,Cold Rolled Steel,A1008,48x72,24,0.0239,0.5,48.0,72.0,0.284,82.5984,23.4579456,304.9532928,152.4766464
6,Aluminum,6061-T6,24x48,22,0.0299,2.77,24.0,48.0,0.098,34.4448,3.3755904,20.2535424,56.102312448
6,Aluminized Steel,Type 2,72x144,12,0.1046,0.94,72.0,144.0,0.284,1084.4928,307.99595519999997,1847.9757311999997,1737.0971873279996
49,Aluminum,3003-H14,36x96,28,0.0149,2.48,36.0,96.0,0.098,51.4944,5.0464512,247.2761088,613.244749824
37,Stainless Steel,304 2B,60x144,16,0.0595,3.18,60.0,144.0,0.289,514.0799999999999,148.56911999999997,5497.057439999999,17480.642659199995
33,Hot Rolled Steel,A1011,72x144,24,0.0239,0.63,72.0,144.0,0.284,247.79520000000002,70.3738368,2322.3366144,1463.0720670720002
48,Hot Rolled Steel,A1011,60x120,17,0.056,0.95,60.0,120.0,0.284,403.2,114.50879999999998,5496.4223999999995,5221.601279999999
9,Copper,C110,36x120,29,0.0135,4.65,36.0,120.0,0.321,58.32,18.72072,168.48648,783.4621320000001
16,Stainless Steel,304 2B,36x120,22,0.0299,2.82,36.0,120.0,0.289,129.168,37.329552,597.272832,1684.3093862399999
32,Hot Rolled Steel,A1011,72x144,14,0.0747,0.81,72.0,144.0,0.284,774.4896,219.9550464,7038.5614848,5701.234802688
28,Aluminum,3003-H14,36x72,14,0.0747,3.16,36.0,72.0,0.098,193.6224,18.974995200000002,531.2998656000001,1678.9075752960005
14,Copper,C122,36x120,25,0.0209,4.98,36.0,120.0,0.321,90.288,28.982447999999998,405.75427199999996,2020.65627456
20,Stainless Steel,304 2B,72x144,26,0.0179,3.21,72.0,144.0,0.289,185.5872,53.6347008,1072.694016,3443.3477913599995
17,Stainless Steel,316L,36x96,19,0.0418,3.96,36.0,96.0,0.289,144.46079999999998,41.74917119999999,709.7359103999999,2810.5542051839993
29,Copper,C122,48x96,26,0.0179,5.2,48.0,96.0,0.321,82.4832,26.4771072,767.8361087999999,3992.7477657599998
11,Cold Rolled Steel,A366,60x144,20,0.0359,0.53,60.0,144.0,0.284,310.176,88.08998399999999,968.9898239999999,513.5646067199999
4,Stainless Steel,304 2B,36x120,29,0.0135,3.05,36.0,120.0,0.289,58.32,16.85448,67.41792,205.624656
47,Aluminized Steel,Type 2,36x120,25,0.0209,0.88,36.0,120.0,0.284,90.288,25.641791999999995,1205.1642239999999,1060.54451712
17,Stainless Steel,304 #4 Finish,36x120,17,0.056,3.5,36.0,120.0,0.289,241.92000000000002,69.91488,1188.55296,4159.9353599999995
17,Galvanized Steel,G60,36x120,27,0.0164,0.88,36.0,120.0,0.284,70.848,20.120831999999996,342.05414399999995,301.00764671999997
16,Copper,C122,60x144,25,0.0209,5.2,60.0,144.0,0.321,180.576,57.964895999999996,927.4383359999999,4822.6793472
33,Aluminized Steel,Type 1,36x120,21,0.0329,1.2,36.0,120.0,0.284,142.128,40.36435199999999,1332.0236159999997,1598.4283391999995
38,Aluminum,5052-H32,48x72,27,0.0164,2.69,48.0,72.0,0.098,56.6784,5.554483200000001,211.07036160000004,567.779272704
40,Copper,C122,24x48,29,0.0135,5.41,24.0,48.0,0.321,15.552,4.992192,199.68768,1080.3103488
50,Galvanized Steel,G90,48x96,29,0.0135,0.65,48.0,96.0,0.284,62.208,17.667071999999997,883.3535999999999,574.17984
47,Stainless Steel,316L,36x72,11,0.1196,3.15,36.0,72.0,0.289,310.0032,89.5909248,4210.7734656,13263.936416640001
49,Galvanized Steel,G90,48x144,24,0.0239,0.95,48.0,144.0,0.284,165.1968,46.9158912,2298.8786688,2183.93473536
22,Aluminum,6061-T6,48x120,18,0.0478,2.73,48.0,120.0,0.098,275.32800000000003,26.982144000000005,593.6071680000001,1620.5475686400002
5,Stainless Steel,304 #4 Finish,36x72,19,0.0418,3.04,36.0,72.0,0.289,108.34559999999999,31.311878399999994,156.55939199999997,475.94055167999994
25,Cold Rolled Steel,A1008,48x72,21,0.0329,0.72,48.0,72.0,0.284,113.7024,32.2914816,807.2870399999999,581.2466688
29,Stainless Steel,316L,48x120,26,0.0179,2.81,48.0,120.0,0.289,103.104,29.797055999999998,864.1146239999999,2428.16209344
40,Galvanized Steel,G60,36x120,26,0.0179,0.86,36.0,120.0,0.284,77.328,21.961152,878.4460799999999,755.4636287999999
39,Hot Rolled Steel,A36,60x144,25,0.0209,0.68,60.0,144.0,0.284,180.576,51.28358399999999,2000.0597759999996,1360.04064768
4,Cold Rolled Steel,A366,48x144,16,0.0595,0.6,48.0,144.0,0.284,411.264,116.798976,467.195904,280.3175424
14,Aluminized Steel,Type 2,36x96,25,0.0209,0.96,36.0,96.0,0.284,72.23039999999999,20.513433599999995,287.18807039999996,275.70054758399993
11,Cold Rolled Steel,A1008,48x72,22,0.0299,0.57,48.0,72.0,0.284,103.3344,29.346969599999998,322.81666559999996,184.00549939199996
14,Hot Rolled Steel,A36,48x96,11,0.1196,0.59,48.0,96.0,0.284,551.1168,156.51717119999998,2191.2403968,1292.8318341119998
12,Cold Rolled Steel,A366,72x144,21,0.0329,0.73,72.0,144.0,0.284,341.1072,96.87444479999999,1162.4933376,848.6201364479999
49,Copper,C110,72x144,21,0.0329,5.01,72.0,144.0,0.321,341.1072,109.49541119999999,5365.275148799999,26880.028495487997
7,Aluminized Steel,Type 1,48x72,28,0.0149,0.95,48.0,72.0,0.284,51.4944,14.624409599999998,102.37086719999999,97.25232383999999
24,Aluminum,6061-T6,36x72,10,0.1345,1.93,36.0,72.0,0.098,348.624,34.165152000000006,819.9636480000001,1582.5298406400002
32,Copper,C122,36x72,14,0.0747,5.04,36.0,72.0,0.321,193.6224,62.1527904,1988.8892928,10024.002035712
18,Aluminum,3003-H14,48x144,16,0.0595,2.4,48.0,144.0,0.098,411.264,40.303872000000005,725.4696960000001,1741.1272704000003
46,Hot Rolled Steel,A1011,36x120,19,0.0418,0.72,36.0,120.0,0.284,180.576,51.28358399999999,2359.0448639999995,1698.5123020799995
26,Aluminized Steel,Type 1,36x120,23,0.0269,1.11,36.0,120.0,0.284,116.208,33.003071999999996,858.0798719999999,952.4686579199999
38,Hot Rolled Steel,A36,36x72,10,0.1345,0.74,36.0,72.0,0.284,348.624,99.009216,3762.350208,2784.13915392
14,Aluminum,5052-H32,36x72,21,0.0329,1.8,36.0,72.0,0.098,85.2768,8.3571264,116.99976960000001,210.59958528
28,Hot Rolled Steel,A1011,48x96,24,0.0239,0.94,48.0,96.0,0.284,110.1312,31.2772608,875.7633024,823.217504256
50,Stainless Steel,316L,36x72,27,0.0164,3.84,36.0,72.0,0.289,42.5088,12.285043199999999,614.2521599999999,2358.7282943999994
22,Galvanized Steel,G60,48x96,12,0.1046,1.05,48.0,96.0,0.284,481.9968,136.8870912,3011.5160063999997,3162.09180672
10,Hot Rolled Steel,A36,36x72,14,0.0747,0.66,36.0,72.0,0.284,193.6224,54.9887616,549.887616,362.92582656
21,Galvanized Steel,G60,36x120,14,0.0747,1.02,36.0,120.0,0.284,322.704,91.64793599999999,1924.6066559999997,1963.0987891199998
32,Hot Rolled Steel,A1011,60x144,26,0.0179,0.78,60.0,144.0,0.284,154.656,43.922304,1405.513728,1096.3007078399999
43,Stainless Steel,304 2B,60x144,16,0.0595,3.68,60.0,144.0,0.289,514.0799999999999,148.56911999999997,6388.472159999998,23509.577548799996
25,Hot Rolled Steel,A1011,48x96,27,0.0164,0.58,48.0,96.0,0.284,75.5712,21.4622208,536.55552,311.20220159999997
47,Stainless Steel,304 #4 Finish,48x120,26,0.0179,3.38,48.0,120.0,0.289,103.104,29.797055999999998,1400.461632,4733.56031616
43,Stainless Steel,304 2B,48x144,23,0.0269,3.87,48.0,144.0,0.289,185.93280000000001,53.7345792,2310.5869056,8941.971324672
48,Brass,C360,48x96,29,0.0135,4.29,48.0,96.0,0.307,62.208,19.097856,916.697088,3932.6305075200003
45,Copper,C122,72x144,12,0.1046,5.19,72.0,144.0,0.321,1084.4928,348.1221888,15665.498496,81303.93719424
24,Aluminized Steel,Type 2,36x120,11,0.1196,1.23,36.0,120.0,0.284,516.672,146.734848,3521.636352,4331.61271296
33,Aluminum,6061-T6,48x144,19,0.0418,3.01,48.0,144.0,0.098,288.92159999999996,28.314316799999997,934.3724543999999,2812.4610877439995
4,Aluminized Steel,Type 1,48x144,24,0.0239,1.1,48.0,144.0,0.284,165.1968,46.9158912,187.6635648,206.42992128
41,Stainless Steel,304 #4 Finish,48x120,28,0.0149,2.83,48.0,120.0,0.289,85.824,24.803136,1016.9285759999999,2877.9078700799996
16,Cold Rolled Steel,A1008,48x120,17,0.056,0.79,48.0,120.0,0.284,322.56,91.60704,1465.71264,1157.9129856
47,Cold Rolled Steel,A366,48x144,20,0.0359,0.47,48.0,144.0,0.284,248.1408,70.4719872,3312.1833984,1556.7261972479998
43,Hot Rolled Steel,A1011,24x48,19,0.0418,0.79,24.0,48.0,0.284,48.1536,13.675622399999998,588.0517631999999,464.56089292799993
48,Brass,C260,48x120,23,0.0269,4.75,48.0,120.0,0.307,154.944,47.56780799999999,2283.2547839999997,10845.460223999999
8,Hot Rolled Steel,A1011,48x72,10,0.1345,0.8,48.0,72.0,0.284,464.83200000000005,132.012288,1056.098304,844.8786432000002
14,Brass,C360,60x120,21,0.0329,3.84,60.0,120.0,0.307,236.88,72.72216,1018.11024,3909.5433215999997
10,Galvanized Steel,G60,48x96,21,0.0329,0.85,48.0,96.0,0.284,151.6032,43.05530879999999,430.5530879999999,365.9701247999999
42,Hot Rolled Steel,A1011,48x96,22,0.0299,0.57,48.0,96.0,0.284,137.7792,39.129292799999995,1643.4302975999997,936.7552696319997
30,Cold Rolled Steel,A366,48x120,24,0.0239,0.82,48.0,120.0,0.284,137.66400000000002,39.096576,1172.89728,961.7757695999999
14,Aluminum,5052-H32,36x96,25,0.0209,2.58,36.0,96.0,0.098,72.23039999999999,7.078579199999999,99.10010879999999,255.67828070399997
41,Aluminized Steel,Type 1,36x72,25,0.0209,1.02,36.0,72.0,0.284,54.172799999999995,15.385075199999998,630.7880831999998,643.4038448639999
40,Galvanized Steel,G60,36x120,23,0.0269,0.78,36.0,120.0,0.284,116.208,33.003071999999996,1320.12288,1029.6958464
29,Copper,C122,36x72,17,0.056,4.82,36.0,72.0,0.321,145.15200000000002,46.59379200000001,1351.2199680000003,6512.880245760002
20,Stainless Steel,316L,48x120,17,0.056,3.68,48.0,120.0,0.289,322.56,93.21983999999999,1864.3967999999998,6860.980223999999
16,Aluminized Steel,Type 2,36x120,16,0.0595,1.07,36.0,120.0,0.284,257.03999999999996,72.99935999999998,1167.9897599999997,1249.7490431999997
10,Hot Rolled Steel,A1011,48x144,27,0.0164,0.62,48.0,144.0,0.284,113.3568,32.193331199999996,321.93331199999994,199.59865343999996
46,Galvanized Steel,G60,72x144,25,0.0209,0.97,72.0,144.0,0.284,216.69119999999998,61.54030079999999,2830.8538367999995,2745.9282216959996
27,Galvanized Steel,G90,48x96,10,0.1345,0.9,48.0,96.0,0.284,619.7760000000001,176.01638400000002,4752.442368,4277.1981312
19,Cold Rolled Steel,A1008,48x96,19,0.0418,0.51,48.0,96.0,0.284,192.6144,54.70248959999999,1039.3473023999998,530.0671242239999
25,Cold Rolled Steel,A366,48x72,26,0.0179,0.57,48.0,72.0,0.284,61.862399999999994,17.568921599999996,439.2230399999999,250.35713279999993
47,Stainless Steel,304 #4 Finish,72x144,27,0.0164,3.44,72.0,144.0,0.289,170.0352,49.140172799999995,2309.5881216,7944.983138303999
42,Galvanized Steel,G90,36x120,29,0.0135,0.8,36.0,120.0,0.284,58.32,16.56288,695.64096,556.5127679999999
30,Galvanized Steel,G90,48x120,23,0.0269,0.99,48.0,120.0,0.284,154.944,44.00409599999999,1320.1228799999997,1306.9216511999996
20,Aluminized Steel,Type 1,36x72,11,0.1196,0.89,36.0,72.0,0.284,310.0032,88.0409088,1760.818176,1567.12817664
46,Galvanized Steel,G60,72x144,14,0.0747,0.92,72.0,144.0,0.284,774.4896,219.9550464,10117.9321344,9308.497563648001
41,Stainless Steel,304 #4 Finish,48x72,23,0.0269,2.94,48.0,72.0,0.289,92.96640000000001,26.8672896,1101.5588736,3238.583088384
2,Galvanized Steel,G60,60x144,16,0.0595,0.68,60.0,144.0,0.284,514.0799999999999,145.99871999999996,291.9974399999999,198.55825919999995
19,Cold Rolled Steel,A366,60x144,29,0.0135,0.63,60.0,144.0,0.284,116.64,33.12576,629.38944,396.5153472
