Quantity,Material,Grade,Stock Length (in),Cost per Stock Length (USD),Weight (lbs/ft),Total Length (ft),Total Weight (lb),Cost Per lb (USD),Total Cost
3,C12x20 Channel,ASTM A709 Grade 50,120,100,20.0,30.0,600.0,0.5,300
32,HSS5x5x1/4 Hollow Structural Section,ASTM A572 Grade 60,240,350,5.0,640.0,3200.0,3.5,11200
11,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 60,240,380,6.0,220.0,1320.0,3.1666666666666665,4180
38,L4x4x1/4 Angle,ASTM A588,120,60,4.0,380.0,1520.0,1.5,2280
43,W10x30 Wide Flange Beam,ASTM A36,240,750,30.0,860.0,25800.0,1.25,32250
32,W8x18 Wide Flange Beam,ASTM A500 Grade B,480,650,18.0,1280.0,23040.0,0.9027777777777778,20800
27,W6x12 Wide Flange Beam,ASTM A709 Grade 50,240,320,12.0,540.0,6480.0,1.3333333333333333,8640
11,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 60,240,280,4.0,220.0,880.0,3.5,3080
4,W14x30 Wide Flange Beam,ASTM A572 Grade 60,120,350,30.0,40.0,1200.0,1.1666666666666667,1400
19,W10x30 Wide Flange Beam,ASTM A992,480,1400,30.0,760.0,22800.0,1.1666666666666667,26600
43,W12x50 Wide Flange Beam,ASTM A709 Grade 50,120,350,50.0,430.0,21500.0,0.7,15050
47,L3x3x1/4 Angle,ASTM A500 Grade B,480,160,3.0,1880.0,5640.0,1.3333333333333333,7520
14,W10x30 Wide Flange Beam,ASTM A572 Grade 50,240,750,30.0,280.0,8400.0,1.25,10500
16,W10x30 Wide Flange Beam,ASTM A709 Grade 50,240,750,30.0,320.0,9600.0,1.25,12000
2,C10x15.3 Channel,ASTM A500 Grade C,240,270,15.3,40.0,612.0,0.8823529411764706,540
15,C8x18 Channel,ASTM A709 Grade 50,240,210,18.0,300.0,5400.0,0.5833333333333334,3150
35,W14x30 Wide Flange Beam,ASTM A500 Grade B,120,350,30.0,350.0,10500.0,1.1666666666666667,12250
29,W10x22 Wide Flange Beam,ASTM A500 Grade B,480,800,22.0,1160.0,25520.0,0.9090909090909091,23200
26,C8x18 Channel,ASTM A572 Grade 50,120,110,18.0,260.0,4680.0,0.6111111111111112,2860
10,C8x11.5 Channel,ASTM A992,240,220,11.5,200.0,2300.0,0.9565217391304348,2200
1,C8x18 Channel,ASTM A992,120,110,18.0,10.0,180.0,0.6111111111111112,110
39,C10x25 Channel,ASTM A709 Grade 50,240,250,25.0,780.0,19500.0,0.5,9750
50,C10x25 Channel,ASTM A500 Grade C,480,470,25.0,2000.0,50000.0,0.47,23500
11,HSS8x8x1/2 Hollow Structural Section,ASTM A572 Grade 50,240,550,8.0,220.0,1760.0,3.4375,6050
17,W10x30 Wide Flange Beam,ASTM A500 Grade B,240,750,30.0,340.0,10200.0,1.25,12750
43,W8x18 Wide Flange Beam,ASTM A588,480,650,18.0,1720.0,30960.0,0.9027777777777778,27950
6,L8x8x3/8 Angle,ASTM A36,480,380,8.0,240.0,1920.0,1.1875,2280
35,C10x25 Channel,ASTM A36,120,130,25.0,350.0,8750.0,0.52,4550
47,W8x18 Wide Flange Beam,ASTM A572 Grade 60,120,200,18.0,470.0,8460.0,1.1111111111111112,9400
13,L8x8x3/8 Angle,ASTM A572 Grade 60,120,100,8.0,130.0,1040.0,1.25,1300
29,L4x4x1/4 Angle,ASTM A709 Grade 50,480,240,4.0,1160.0,4640.0,1.5,6960
12,L8x8x3/8 Angle,ASTM A709 Grade 50,240,190,8.0,240.0,1920.0,1.1875,2280
41,C12x20 Channel,ASTM A500 Grade C,120,100,20.0,410.0,8200.0,0.5,4100
25,C4x7.5 Channel,ASTM A992,120,90,7.5,250.0,1875.0,1.2,2250
49,W14x30 Wide Flange Beam,ASTM A572 Grade 60,480,1200,30.0,1960.0,58800.0,1.0,58800
49,L6x6x1/2 Angle,ASTM A709 Grade 50,240,160,6.0,980.0,5880.0,1.3333333333333333,7840
35,L8x8x3/8 Angle,ASTM A992,120,100,8.0,350.0,2800.0,1.25,3500
26,W8x18 Wide Flange Beam,ASTM A36,120,200,18.0,260.0,4680.0,1.1111111111111112,5200
12,L8x8x3/8 Angle,ASTM A572 Grade 50,120,100,8.0,120.0,960.0,1.25,1200
17,HSS4x4x1/4 Hollow Structural Section,ASTM A36,120,150,4.0,170.0,680.0,3.75,2550
43,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,120,200,6.0,430.0,2580.0,3.3333333333333335,8600
42,HSS5x5x1/4 Hollow Structural Section,ASTM A572 Grade 60,120,180,5.0,420.0,2100.0,3.6,7560
3,W14x30 Wide Flange Beam,ASTM A572 Grade 50,480,1200,30.0,120.0,3600.0,1.0,3600
40,W6x12 Wide Flange Beam,ASTM A36,480,600,12.0,1600.0,19200.0,1.25,24000
29,W12x50 Wide Flange Beam,ASTM A588,120,350,50.0,290.0,14500.0,0.7,10150
14,W6x12 Wide Flange Beam,ASTM A588,480,600,12.0,560.0,6720.0,1.25,8400
19,W8x18 Wide Flange Beam,ASTM A992,120,200,18.0,190.0,3420.0,1.1111111111111112,3800
7,W6x12 Wide Flange Beam,ASTM A572 Grade 60,240,320,12.0,140.0,1680.0,1.3333333333333333,2240
12,L8x8x3/8 Angle,ASTM A588,120,100,8.0,120.0,960.0,1.25,1200
15,C10x25 Channel,ASTM A572 Grade 60,240,250,25.0,300.0,7500.0,0.5,3750
11,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,120,150,4.0,110.0,440.0,3.75,1650
49,C12x20 Channel,ASTM A572 Grade 60,480,380,20.0,1960.0,39200.0,0.475,18620
13,L4x4x1/4 Angle,ASTM A572 Grade 50,120,60,4.0,130.0,520.0,1.5,780
31,C8x11.5 Channel,ASTM A709 Grade 50,120,120,11.5,310.0,3565.0,1.0434782608695652,3720
6,HSS6x6x3/8 Hollow Structural Section,ASTM A36,480,720,6.0,240.0,1440.0,3.0,4320
27,W8x18 Wide Flange Beam,ASTM A572 Grade 50,120,200,18.0,270.0,4860.0,1.1111111111111112,5400
43,W10x30 Wide Flange Beam,ASTM A992,480,1400,30.0,1720.0,51600.0,1.1666666666666667,60200
47,L3x3x1/4 Angle,ASTM A709 Grade 50,480,160,3.0,1880.0,5640.0,1.3333333333333333,7520
47,L6x6x1/2 Angle,ASTM A992,120,80,6.0,470.0,2820.0,1.3333333333333333,3760
48,C8x11.5 Channel,ASTM A992,240,220,11.5,960.0,11040.0,0.9565217391304348,10560
32,W8x18 Wide Flange Beam,ASTM A36,120,200,18.0,320.0,5760.0,1.1111111111111112,6400
15,HSS6x6x3/8 Hollow Structural Section,ASTM A36,240,380,6.0,300.0,1800.0,3.1666666666666665,5700
45,C10x15.3 Channel,ASTM A36,240,270,15.3,900.0,13770.0,0.8823529411764706,12150
16,C10x25 Channel,ASTM A500 Grade B,120,130,25.0,160.0,4000.0,0.52,2080
50,HSS8x8x1/2 Hollow Structural Section,ASTM A500 Grade B,120,300,8.0,500.0,4000.0,3.75,15000
3,L8x8x3/8 Angle,ASTM A36,480,380,8.0,120.0,960.0,1.1875,1140
13,HSS5x5x1/4 Hollow Structural Section,ASTM A588,120,180,5.0,130.0,650.0,3.6,2340
23,L4x4x1/4 Angle,ASTM A36,240,120,4.0,460.0,1840.0,1.5,2760
21,W12x50 Wide Flange Beam,ASTM A588,480,1200,50.0,840.0,42000.0,0.6,25200
47,HSS4x4x1/4 Hollow Structural Section,ASTM A36,240,280,4.0,940.0,3760.0,3.5,13160
48,W10x30 Wide Flange Beam,ASTM A572 Grade 50,120,400,30.0,480.0,14400.0,1.3333333333333333,19200
25,W10x30 Wide Flange Beam,ASTM A709 Grade 50,240,750,30.0,500.0,15000.0,1.25,18750
48,W12x50 Wide Flange Beam,ASTM A36,120,350,50.0,480.0,24000.0,0.7,16800
5,W6x12 Wide Flange Beam,ASTM A36,480,600,12.0,200.0,2400.0,1.25,3000
41,L3x3x1/4 Angle,ASTM A992,480,160,3.0,1640.0,4920.0,1.3333333333333333,6560
28,C8x18 Channel,ASTM A36,480,400,18.0,1120.0,20160.0,0.5555555555555556,11200
30,C10x15.3 Channel,ASTM A500 Grade B,480,500,15.3,1200.0,18360.0,0.8169934640522876,15000
20,L6x6x1/2 Angle,ASTM A572 Grade 60,240,160,6.0,400.0,2400.0,1.3333333333333333,3200
27,L3x3x1/4 Angle,ASTM A500 Grade B,480,160,3.0,1080.0,3240.0,1.3333333333333333,4320
31,C10x25 Channel,ASTM A709 Grade 50,240,250,25.0,620.0,15500.0,0.5,7750
6,HSS5x5x1/4 Hollow Structural Section,ASTM A709 Grade 50,240,350,5.0,120.0,600.0,3.5,2100
1,C10x25 Channel,ASTM A709 Grade 50,120,130,25.0,10.0,250.0,0.52,130
30,C4x7.5 Channel,ASTM A992,240,160,7.5,600.0,4500.0,1.0666666666666667,4800
7,C10x15.3 Channel,ASTM A588,240,270,15.3,140.0,2142.0,0.8823529411764706,1890
44,C10x15.3 Channel,ASTM A36,120,150,15.3,440.0,6732.0,0.9803921568627451,6600
39,W14x30 Wide Flange Beam,ASTM A500 Grade C,480,1200,30.0,1560.0,46800.0,1.0,46800
32,L3x3x1/4 Angle,ASTM A572 Grade 60,480,160,3.0,1280.0,3840.0,1.3333333333333333,5120
41,C10x25 Channel,ASTM A709 Grade 50,240,250,25.0,820.0,20500.0,0.5,10250
24,W12x50 Wide Flange Beam,ASTM A500 Grade B,120,350,50.0,240.0,12000.0,0.7,8400
36,HSS8x8x1/2 Hollow Structural Section,ASTM A500 Grade B,240,550,8.0,720.0,5760.0,3.4375,19800
27,L4x4x1/4 Angle,ASTM A36,240,120,4.0,540.0,2160.0,1.5,3240
2,L3x3x1/4 Angle,ASTM A709 Grade 50,120,40,3.0,20.0,60.0,1.3333333333333333,80
18,W6x12 Wide Flange Beam,ASTM A500 Grade B,480,600,12.0,720.0,8640.0,1.25,10800
41,W14x30 Wide Flange Beam,ASTM A572 Grade 60,480,1200,30.0,1640.0,49200.0,1.0,49200
1,W14x30 Wide Flange Beam,ASTM A500 Grade B,480,1200,30.0,40.0,1200.0,1.0,1200
18,W12x50 Wide Flange Beam,ASTM A36,480,1200,50.0,720.0,36000.0,0.6,21600
39,C8x18 Channel,ASTM A572 Grade 60,240,210,18.0,780.0,14040.0,0.5833333333333334,8190
22,HSS8x8x1/2 Hollow Structural Section,ASTM A588,120,300,8.0,220.0,1760.0,3.75,6600
43,L3x3x1/4 Angle,ASTM A36,120,40,3.0,430.0,1290.0,1.3333333333333333,1720
43,W10x22 Wide Flange Beam,ASTM A572 Grade 50,240,450,22.0,860.0,18920.0,1.0227272727272727,19350
3,C4x7.5 Channel,ASTM A572 Grade 50,120,90,7.5,30.0,225.0,1.2,270
4,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,120,150,4.0,40.0,160.0,3.75,600
50,W6x12 Wide Flange Beam,ASTM A36,480,600,12.0,2000.0,24000.0,1.25,30000
3,W12x50 Wide Flange Beam,ASTM A572 Grade 60,480,1200,50.0,120.0,6000.0,0.6,3600
12,L3x3x1/4 Angle,ASTM A709 Grade 50,480,160,3.0,480.0,1440.0,1.3333333333333333,1920
7,C4x7.5 Channel,ASTM A572 Grade 50,120,90,7.5,70.0,525.0,1.2,630
10,C10x25 Channel,ASTM A588,480,470,25.0,400.0,10000.0,0.47,4700
25,W10x30 Wide Flange Beam,ASTM A588,120,400,30.0,250.0,7500.0,1.3333333333333333,10000
2,W10x30 Wide Flange Beam,ASTM A500 Grade C,480,1400,30.0,80.0,2400.0,1.1666666666666667,2800
16,W14x30 Wide Flange Beam,ASTM A500 Grade B,480,1200,30.0,640.0,19200.0,1.0,19200
25,C8x11.5 Channel,ASTM A500 Grade B,240,220,11.5,500.0,5750.0,0.9565217391304348,5500
33,W12x50 Wide Flange Beam,ASTM A572 Grade 50,120,350,50.0,330.0,16500.0,0.7,11550
3,L4x4x1/4 Angle,ASTM A992,120,60,4.0,30.0,120.0,1.5,180
30,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,240,380,6.0,600.0,3600.0,3.1666666666666665,11400
10,L3x3x1/4 Angle,ASTM A992,240,80,3.0,200.0,600.0,1.3333333333333333,800
19,C10x25 Channel,ASTM A572 Grade 60,240,250,25.0,380.0,9500.0,0.5,4750
35,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,480,720,6.0,1400.0,8400.0,3.0,25200
13,W14x30 Wide Flange Beam,ASTM A992,240,650,30.0,260.0,7800.0,1.0833333333333333,8450
17,L4x4x1/4 Angle,ASTM A500 Grade C,120,60,4.0,170.0,680.0,1.5,1020
47,W10x30 Wide Flange Beam,ASTM A500 Grade B,480,1400,30.0,1880.0,56400.0,1.1666666666666667,65800
16,W8x18 Wide Flange Beam,ASTM A500 Grade B,480,650,18.0,640.0,11520.0,0.9027777777777778,10400
36,W10x22 Wide Flange Beam,ASTM A992,480,800,22.0,1440.0,31680.0,0.9090909090909091,28800
32,C12x20 Channel,ASTM A500 Grade C,120,100,20.0,320.0,6400.0,0.5,3200
5,HSS6x6x3/8 Hollow Structural Section,ASTM A588,240,380,6.0,100.0,600.0,3.1666666666666665,1900
32,L3x3x1/4 Angle,ASTM A709 Grade 50,240,80,3.0,640.0,1920.0,1.3333333333333333,2560
23,L4x4x1/4 Angle,ASTM A500 Grade C,120,60,4.0,230.0,920.0,1.5,1380
14,HSS5x5x1/4 Hollow Structural Section,ASTM A36,240,350,5.0,280.0,1400.0,3.5,4900
7,HSS6x6x3/8 Hollow Structural Section,ASTM A588,240,380,6.0,140.0,840.0,3.1666666666666665,2660
31,W6x12 Wide Flange Beam,ASTM A992,120,180,12.0,310.0,3720.0,1.5,5580
15,L3x3x1/4 Angle,ASTM A588,120,40,3.0,150.0,450.0,1.3333333333333333,600
45,W10x30 Wide Flange Beam,ASTM A572 Grade 50,120,400,30.0,450.0,13500.0,1.3333333333333333,18000
45,W6x12 Wide Flange Beam,ASTM A500 Grade C,120,180,12.0,450.0,5400.0,1.5,8100
18,W10x30 Wide Flange Beam,ASTM A572 Grade 60,120,400,30.0,180.0,5400.0,1.3333333333333333,7200
15,W6x12 Wide Flange Beam,ASTM A500 Grade C,240,320,12.0,300.0,3600.0,1.3333333333333333,4800
42,W14x30 Wide Flange Beam,ASTM A36,240,650,30.0,840.0,25200.0,1.0833333333333333,27300
36,C10x15.3 Channel,ASTM A572 Grade 60,240,270,15.3,720.0,11016.0,0.8823529411764706,9720
4,W6x12 Wide Flange Beam,ASTM A500 Grade B,480,600,12.0,160.0,1920.0,1.25,2400
15,C4x7.5 Channel,ASTM A588,240,160,7.5,300.0,2250.0,1.0666666666666667,2400
28,C8x18 Channel,ASTM A572 Grade 60,480,400,18.0,1120.0,20160.0,0.5555555555555556,11200
26,C4x7.5 Channel,ASTM A709 Grade 50,480,300,7.5,1040.0,7800.0,1.0,7800
33,L4x4x1/4 Angle,ASTM A500 Grade B,120,60,4.0,330.0,1320.0,1.5,1980
33,W10x30 Wide Flange Beam,ASTM A500 Grade C,480,1400,30.0,1320.0,39600.0,1.1666666666666667,46200
18,W12x50 Wide Flange Beam,ASTM A588,240,650,50.0,360.0,18000.0,0.65,11700
8,W6x12 Wide Flange Beam,ASTM A588,480,600,12.0,320.0,3840.0,1.25,4800
42,L4x4x1/4 Angle,ASTM A588,480,240,4.0,1680.0,6720.0,1.5,10080
25,L6x6x1/2 Angle,ASTM A572 Grade 60,120,80,6.0,250.0,1500.0,1.3333333333333333,2000
44,L8x8x3/8 Angle,ASTM A572 Grade 60,240,190,8.0,880.0,7040.0,1.1875,8360
17,C4x7.5 Channel,ASTM A588,480,300,7.5,680.0,5100.0,1.0,5100
6,C10x15.3 Channel,ASTM A36,480,500,15.3,240.0,3672.0,0.8169934640522876,3000
9,HSS6x6x3/8 Hollow Structural Section,ASTM A36,480,720,6.0,360.0,2160.0,3.0,6480
29,C4x7.5 Channel,ASTM A992,480,300,7.5,1160.0,8700.0,1.0,8700
32,L6x6x1/2 Angle,ASTM A500 Grade B,240,160,6.0,640.0,3840.0,1.3333333333333333,5120
15,C10x15.3 Channel,ASTM A572 Grade 50,120,150,15.3,150.0,2295.0,0.9803921568627451,2250
4,W10x30 Wide Flange Beam,ASTM A572 Grade 60,480,1400,30.0,160.0,4800.0,1.1666666666666667,5600
35,C10x15.3 Channel,ASTM A500 Grade C,120,150,15.3,350.0,5355.0,0.9803921568627451,5250
33,HSS5x5x1/4 Hollow Structural Section,ASTM A500 Grade B,480,650,5.0,1320.0,6600.0,3.25,21450
5,C4x7.5 Channel,ASTM A572 Grade 50,240,160,7.5,100.0,750.0,1.0666666666666667,800
32,W6x12 Wide Flange Beam,ASTM A572 Grade 60,120,180,12.0,320.0,3840.0,1.5,5760
9,C8x18 Channel,ASTM A572 Grade 60,120,110,18.0,90.0,1620.0,0.6111111111111112,990
49,W10x22 Wide Flange Beam,ASTM A588,240,450,22.0,980.0,21560.0,1.0227272727272727,22050
31,HSS5x5x1/4 Hollow Structural Section,ASTM A709 Grade 50,240,350,5.0,620.0,3100.0,3.5,10850
41,L6x6x1/2 Angle,ASTM A500 Grade B,240,160,6.0,820.0,4920.0,1.3333333333333333,6560
30,C4x7.5 Channel,ASTM A36,120,90,7.5,300.0,2250.0,1.2,2700
5,C4x7.5 Channel,ASTM A709 Grade 50,120,90,7.5,50.0,375.0,1.2,450
43,HSS4x4x1/4 Hollow Structural Section,ASTM A588,120,150,4.0,430.0,1720.0,3.75,6450
25,HSS8x8x1/2 Hollow Structural Section,ASTM A572 Grade 60,240,550,8.0,500.0,4000.0,3.4375,13750
9,C4x7.5 Channel,ASTM A36,120,90,7.5,90.0,675.0,1.2,810
15,C10x15.3 Channel,ASTM A992,480,500,15.3,600.0,9180.0,0.8169934640522876,7500
4,C8x11.5 Channel,ASTM A588,240,220,11.5,80.0,920.0,0.9565217391304348,880
28,L6x6x1/2 Angle,ASTM A500 Grade B,120,80,6.0,280.0,1680.0,1.3333333333333333,2240
17,C10x25 Channel,ASTM A572 Grade 60,480,470,25.0,680.0,17000.0,0.47,7990
1,L8x8x3/8 Angle,ASTM A500 Grade B,120,100,8.0,10.0,80.0,1.25,100
18,C10x15.3 Channel,ASTM A992,120,150,15.3,180.0,2754.0,0.9803921568627451,2700
35,W14x30 Wide Flange Beam,ASTM A992,240,650,30.0,700.0,21000.0,1.0833333333333333,22750
43,C10x15.3 Channel,ASTM A36,480,500,15.3,1720.0,26316.0,0.8169934640522876,21500
12,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 60,240,280,4.0,240.0,960.0,3.5,3360
14,C10x25 Channel,ASTM A36,240,250,25.0,280.0,7000.0,0.5,3500
38,W10x22 Wide Flange Beam,ASTM A992,240,450,22.0,760.0,16720.0,1.0227272727272727,17100
16,C10x15.3 Channel,ASTM A572 Grade 60,120,150,15.3,160.0,2448.0,0.9803921568627451,2400
5,C10x25 Channel,ASTM A709 Grade 50,480,470,25.0,200.0,5000.0,0.47,2350
19,L6x6x1/2 Angle,ASTM A992,480,320,6.0,760.0,4560.0,1.3333333333333333,6080
40,W6x12 Wide Flange Beam,ASTM A992,240,320,12.0,800.0,9600.0,1.3333333333333333,12800
47,W10x30 Wide Flange Beam,ASTM A500 Grade B,120,400,30.0,470.0,14100.0,1.3333333333333333,18800
25,L8x8x3/8 Angle,ASTM A572 Grade 50,480,380,8.0,1000.0,8000.0,1.1875,9500
13,C10x25 Channel,ASTM A992,480,470,25.0,520.0,13000.0,0.47,6110
19,L4x4x1/4 Angle,ASTM A572 Grade 50,480,240,4.0,760.0,3040.0,1.5,4560
39,HSS5x5x1/4 Hollow Structural Section,ASTM A500 Grade B,240,350,5.0,780.0,3900.0,3.5,13650
26,L3x3x1/4 Angle,ASTM A572 Grade 60,240,80,3.0,520.0,1560.0,1.3333333333333333,2080
40,W10x30 Wide Flange Beam,ASTM A36,120,400,30.0,400.0,12000.0,1.3333333333333333,16000
29,HSS5x5x1/4 Hollow Structural Section,ASTM A572 Grade 60,480,650,5.0,1160.0,5800.0,3.25,18850
3,W8x18 Wide Flange Beam,ASTM A500 Grade C,240,350,18.0,60.0,1080.0,0.9722222222222222,1050
26,L4x4x1/4 Angle,ASTM A572 Grade 60,240,120,4.0,520.0,2080.0,1.5,3120
16,C12x20 Channel,ASTM A572 Grade 60,240,200,20.0,320.0,6400.0,0.5,3200
21,L8x8x3/8 Angle,ASTM A992,480,380,8.0,840.0,6720.0,1.1875,7980
36,C10x15.3 Channel,ASTM A500 Grade C,240,270,15.3,720.0,11016.0,0.8823529411764706,9720
29,L6x6x1/2 Angle,ASTM A992,480,320,6.0,1160.0,6960.0,1.3333333333333333,9280
25,L8x8x3/8 Angle,ASTM A500 Grade C,240,190,8.0,500.0,4000.0,1.1875,4750
50,L4x4x1/4 Angle,ASTM A572 Grade 50,240,120,4.0,1000.0,4000.0,1.5,6000
45,C8x11.5 Channel,ASTM A36,480,400,11.5,1800.0,20700.0,0.8695652173913043,18000
39,C8x11.5 Channel,ASTM A572 Grade 60,240,220,11.5,780.0,8970.0,0.9565217391304348,8580
37,W6x12 Wide Flange Beam,ASTM A572 Grade 60,120,180,12.0,370.0,4440.0,1.5,6660
8,L3x3x1/4 Angle,ASTM A992,240,80,3.0,160.0,480.0,1.3333333333333333,640
47,L8x8x3/8 Angle,ASTM A992,120,100,8.0,470.0,3760.0,1.25,4700
23,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,480,720,6.0,920.0,5520.0,3.0,16560
38,W10x30 Wide Flange Beam,ASTM A709 Grade 50,120,400,30.0,380.0,11400.0,1.3333333333333333,15200
27,L4x4x1/4 Angle,ASTM A500 Grade B,120,60,4.0,270.0,1080.0,1.5,1620
20,HSS8x8x1/2 Hollow Structural Section,ASTM A572 Grade 50,480,1000,8.0,800.0,6400.0,3.125,20000
42,L6x6x1/2 Angle,ASTM A36,120,80,6.0,420.0,2520.0,1.3333333333333333,3360
13,HSS6x6x3/8 Hollow Structural Section,ASTM A36,240,380,6.0,260.0,1560.0,3.1666666666666665,4940
33,C8x18 Channel,ASTM A500 Grade C,120,110,18.0,330.0,5940.0,0.6111111111111112,3630
19,C10x25 Channel,ASTM A709 Grade 50,120,130,25.0,190.0,4750.0,0.52,2470
30,W6x12 Wide Flange Beam,ASTM A709 Grade 50,240,320,12.0,600.0,7200.0,1.3333333333333333,9600
45,L8x8x3/8 Angle,ASTM A992,240,190,8.0,900.0,7200.0,1.1875,8550
13,W8x18 Wide Flange Beam,ASTM A709 Grade 50,480,650,18.0,520.0,9360.0,0.9027777777777778,8450
35,C10x25 Channel,ASTM A572 Grade 50,480,470,25.0,1400.0,35000.0,0.47,16450
3,HSS6x6x3/8 Hollow Structural Section,ASTM A588,240,380,6.0,60.0,360.0,3.1666666666666665,1140
48,C4x7.5 Channel,ASTM A709 Grade 50,480,300,7.5,1920.0,14400.0,1.0,14400
50,C4x7.5 Channel,ASTM A572 Grade 50,240,160,7.5,1000.0,7500.0,1.0666666666666667,8000
32,HSS6x6x3/8 Hollow Structural Section,ASTM A992,480,720,6.0,1280.0,7680.0,3.0,23040
44,C8x11.5 Channel,ASTM A572 Grade 50,480,400,11.5,1760.0,20240.0,0.8695652173913043,17600
19,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,240,380,6.0,380.0,2280.0,3.1666666666666665,7220
19,L8x8x3/8 Angle,ASTM A572 Grade 60,480,380,8.0,760.0,6080.0,1.1875,7220
26,L4x4x1/4 Angle,ASTM A992,120,60,4.0,260.0,1040.0,1.5,1560
24,W14x30 Wide Flange Beam,ASTM A500 Grade B,240,650,30.0,480.0,14400.0,1.0833333333333333,15600
16,L3x3x1/4 Angle,ASTM A572 Grade 50,480,160,3.0,640.0,1920.0,1.3333333333333333,2560
47,C12x20 Channel,ASTM A709 Grade 50,240,200,20.0,940.0,18800.0,0.5,9400
19,C12x20 Channel,ASTM A992,480,380,20.0,760.0,15200.0,0.475,7220
2,L3x3x1/4 Angle,ASTM A500 Grade C,120,40,3.0,20.0,60.0,1.3333333333333333,80
48,L3x3x1/4 Angle,ASTM A588,120,40,3.0,480.0,1440.0,1.3333333333333333,1920
21,W10x22 Wide Flange Beam,ASTM A588,120,250,22.0,210.0,4620.0,1.1363636363636365,5250
4,HSS5x5x1/4 Hollow Structural Section,ASTM A36,480,650,5.0,160.0,800.0,3.25,2600
24,W6x12 Wide Flange Beam,ASTM A36,240,320,12.0,480.0,5760.0,1.3333333333333333,7680
38,W10x22 Wide Flange Beam,ASTM A709 Grade 50,120,250,22.0,380.0,8360.0,1.1363636363636365,9500
38,W12x50 Wide Flange Beam,ASTM A709 Grade 50,480,1200,50.0,1520.0,76000.0,0.6,45600
27,C8x11.5 Channel,ASTM A992,480,400,11.5,1080.0,12420.0,0.8695652173913043,10800
38,L3x3x1/4 Angle,ASTM A709 Grade 50,480,160,3.0,1520.0,4560.0,1.3333333333333333,6080
3,L6x6x1/2 Angle,ASTM A572 Grade 50,480,320,6.0,120.0,720.0,1.3333333333333333,960
4,L8x8x3/8 Angle,ASTM A588,120,100,8.0,40.0,320.0,1.25,400
2,C10x25 Channel,ASTM A992,240,250,25.0,40.0,1000.0,0.5,500
21,W8x18 Wide Flange Beam,ASTM A709 Grade 50,240,350,18.0,420.0,7560.0,0.9722222222222222,7350
26,C8x11.5 Channel,ASTM A500 Grade C,480,400,11.5,1040.0,11960.0,0.8695652173913043,10400
20,C10x15.3 Channel,ASTM A572 Grade 60,240,270,15.3,400.0,6120.0,0.8823529411764706,5400
17,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,480,540,4.0,680.0,2720.0,3.375,9180
37,C12x20 Channel,ASTM A572 Grade 60,120,100,20.0,370.0,7400.0,0.5,3700
32,C12x20 Channel,ASTM A572 Grade 60,480,380,20.0,1280.0,25600.0,0.475,12160
38,W10x22 Wide Flange Beam,ASTM A709 Grade 50,240,450,22.0,760.0,16720.0,1.0227272727272727,17100
11,C4x7.5 Channel,ASTM A992,480,300,7.5,440.0,3300.0,1.0,3300
11,L8x8x3/8 Angle,ASTM A500 Grade B,120,100,8.0,110.0,880.0,1.25,1100
25,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,480,720,6.0,1000.0,6000.0,3.0,18000
12,HSS4x4x1/4 Hollow Structural Section,ASTM A588,240,280,4.0,240.0,960.0,3.5,3360
6,W14x30 Wide Flange Beam,ASTM A500 Grade B,120,350,30.0,60.0,1800.0,1.1666666666666667,2100
17,C8x18 Channel,ASTM A709 Grade 50,480,400,18.0,680.0,12240.0,0.5555555555555556,6800
14,W8x18 Wide Flange Beam,ASTM A500 Grade B,480,650,18.0,560.0,10080.0,0.9027777777777778,9100
49,HSS6x6x3/8 Hollow Structural Section,ASTM A992,240,380,6.0,980.0,5880.0,3.1666666666666665,18620
36,HSS5x5x1/4 Hollow Structural Section,ASTM A588,120,180,5.0,360.0,1800.0,3.6,6480
22,W6x12 Wide Flange Beam,ASTM A500 Grade B,480,600,12.0,880.0,10560.0,1.25,13200
17,C12x20 Channel,ASTM A588,240,200,20.0,340.0,6800.0,0.5,3400
40,L6x6x1/2 Angle,ASTM A36,240,160,6.0,800.0,4800.0,1.3333333333333333,6400
24,L4x4x1/4 Angle,ASTM A36,480,240,4.0,960.0,3840.0,1.5,5760
22,W14x30 Wide Flange Beam,ASTM A709 Grade 50,120,350,30.0,220.0,6600.0,1.1666666666666667,7700
9,L8x8x3/8 Angle,ASTM A992,240,190,8.0,180.0,1440.0,1.1875,1710
7,W10x22 Wide Flange Beam,ASTM A992,240,450,22.0,140.0,3080.0,1.0227272727272727,3150
20,W6x12 Wide Flange Beam,ASTM A500 Grade C,120,180,12.0,200.0,2400.0,1.5,3600
